day,temp,wind_dir,wind_speed,symbol,percip_amount
3,33.4,232.2,3.9,clearsky_day,0.0
4,33.7,223.6,4.2,clearsky_day,0.0
5,34.7,217.7,3.8,clearsky_day,0.0
6,34.1,200.5,0.7,clearsky_day,0.0
0,34.8,194.2,3.4,clearsky_day,0.0
1,35.7,209.6,3.1,clearsky_day,0.0
