day,temp,wind_dir,wind_speed,symbol,percip_amount
3,6.2,300.9,5.6,lightrain,0.6
4,10.4,343.4,2.4,partlycloudy_day,0.0
5,19.2,304.2,1.7,fair_day,0.0
6,21.1,172.5,2.1,partlycloudy_day,0.0
0,17.3,50.8,2.5,rain,3.9
1,11.1,278.2,3.9,rain,3.5
